Basho,Araiso,Asahiyama[1],Azumazeki,Fujishima[1],Furiwake,Futagoyama[1],Hanakago[1],Hanakago[2],Hanakago[3],Hanaregoma[1],Hatachiyama,Isegahama[2],Izutsu[2],Izutsu[3],Kabutoyama,Kagamiyama,Kasugayama[1],Kasugayama[2],Kasugayama[3],Kiriyama[2],Kise[1],Kumagatani[1],Kumagatani[2],Magaki[2],Magaki[3],Michinoku[1],Mihogaseki[1],Mihogaseki[2],Minatogawa[1],Minatogawa[2],Minezaki,Miyagino[1],Nakagawa[3],Nakagawa[4],Nakamura[1],Nakamura[2],Nishikijima,Nishonoseki[2],Oguruma,Oitekaze[3],Onaruto[1],Onaruto[2],Onogawa[3],Oshima[1],Oshiogawa[2],Oyama,Sadogatake[1],Sanoyama[1],Sanoyama[2],Shikihide[2],Tagonoura[2],Takanohana,Takashima[1],Takashima[2],Takekuma[2],Takekuma[3],Tamanoi[1],Tanigawa[1],Tanigawa[2],Tatekawa,Tatsutagawa,Tatsutayama[2],Tomozuna,Urakaze,Wakafuji,Wakamatsu,Yamawake
1928.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,
1928.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,
1928.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,Takasago-7-4-Ozeki Asashio--84-,
1928.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,Takasago-6-4-Ozeki Asashio--84-,
1929.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takasago-7-5-Ozeki Asashio-BO-84--Komusubi Izumigawa-Wakamatsu-,,,,,,,,,,,-,,,,,,,,Takasago-7-5-Ozeki Asashio-BO-84--Komusubi Izumigawa-Wakamatsu-,
1929.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takasago-8-5-Ozeki Asashio--84-,,,,,,,,,,,-,,,,,,,,-,
1929.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takasago-7-5-Ozeki Asashio-BO-84--Maegashira #1 Akutsugawa-Sadogatake[1]-,,,,,,,,,,,-,,,,,,,,-,
1929.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,,,,,,,,-,
1930.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1930.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1930.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1930.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1931.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1931.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1931.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1931.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1932.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1932.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1932.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1932.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1932.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1933.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1933.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1934.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1934.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1935.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewanoumi-38-20-Komusubi Ryogoku--9-,,,-,,,,,,,,-,
1935.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewanoumi-37-20-Komusubi Ryogoku--9-,,,-,,,,,,,,-,
1936.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewanoumi-36-20-Komusubi Ryogoku-BO-9--Sekiwake Ryogoku-Takekuma[2]-,,,-,,,,,,,,-,
1936.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,,,,,,,,-,
1937.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1937.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1938.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1938.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,
1939.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,Nishikijima-7-1-Maegashira #1 Orochiyama--59-,,,,-,
1939.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takasago-18-2-Ozeki Asashio--84-,,,,,,,,,,,,-,,,,Nishikijima-7-1-Maegashira #1 Orochiyama--59-,,,,-,
1940.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatsutayama[2]-1-1-Ozeki Noshirogata-HB-96--Nishikijima-,,,,,,,,,Takasago-19-2-Ozeki Asashio--84-,,,,,,,,,,,,-,,,,Nishikijima-7-2-Maegashira #1 Orochiyama-BO-59--Ozeki Noshirogata-Tatsutayama[2]-,,,,-,
1940.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatsutayama[2]-1-1-Ozeki Noshirogata--96-,,,,,,,,,Takasago-21-1-Ozeki Asashio-BO-84--Sekiwake Takanobori-Oyama-,,,,,,,,,,,,-,,,,-,,,,-,
1941.01,,,,,Tamanoi[1]-1-0-Juryo #1 Mutsunishiki--90-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatsutayama[2]-1-1-Ozeki Noshirogata--96-,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,-,
1941.05,,,,,Tamanoi[1]-1-0-Juryo #1 Mutsunishiki--90-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,-,
1942.01,,,,,Tamanoi[1]-1-0-Juryo #1 Mutsunishiki-BO-90--Sekiwake Naminooto-Furiwake[1]-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,Furiwake[1]-1-1-Sekiwake Naminooto-HB-13--Tamanoi[1]-,-,,,,,,,,-,
1942.05,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,Furiwake[1]-1-1-Sekiwake Naminooto--13-,-,,,,,,,,-,
1943.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,Furiwake[1]-1-0-Sekiwake Naminooto--13-,-,,,,,,,,-,
