Basho,All,All Japanese,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi,Awa,Chikuzen,Dewa,Echigo,Edo,Esshu,Etchu,Harima,Hizen,Hoki,Iburi,Ishikari,Izu,Kaga,Kawachi,Kyushu,Musashi,Mutsu,Nanbu,Odawara,Osaka (old),Oshu,Owari,Rikuchu,Sachalin,Sagami,Sattsu,Sendai,Sesshu,Shimousa,Shinano,Shiribe,Tosa,Ugo,All Foreigners,Argentina,Brazil,Bulgaria,Canada,China,Czech,Egypt,Estonia,Georgia,Great Britain,Hong Kong,Hungary,Indonesia,Kazakhstan,Korea,Mongolia,Paraguay,Philippines,Russia,Sri Lanka,Taiwan,Tonga,U.S.A.,Ukraine,Western Samoa
2006.09,737-70-,674-54-201,39-2-1,3-1-2,29-10-3,30-1-4,6-1-5,5-0-6,39-3-7,13-1-8,7-0-9,5-0-10,10-2-11,19-0-12,28-2-13,26-2-14,7-2-15,6-1-16,1-0-17,40-3-18,24-0-19,14-3-20,21-1-21,8-0-22,9-0-23,8-0-24,17-0-25,8-0-26,14-2-27,5-1-28,9-1-29,10-3-30,5-0-31,7-1-32,56-1-33,4-1-34,23-1-35,7-0-36,5-0-37,18-2-38,4-1-39,4-0-40,49-3-41,0-0-42,2-0-43,9-0-44,5-1-45,11-1-46,5-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63-16-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,4-1-55,,,1-0-56,,1-0-57,3-1-58,35-10-59,,0-0-61,5-2-62,,,2-0-65,0-0-66,,
2006.11,726-70-,665-54-201,40-2-1,3-1-2,29-10-3,28-1-4,6-1-5,5-0-6,38-3-7,13-1-8,7-0-9,5-0-10,10-2-11,17-0-12,27-2-13,26-2-14,7-2-15,6-1-16,1-0-17,40-3-18,24-0-19,14-3-20,19-1-21,9-0-22,9-0-23,8-0-24,17-0-25,8-0-26,15-2-27,5-1-28,9-1-29,10-3-30,5-0-31,7-1-32,55-1-33,4-1-34,25-1-35,7-0-36,5-0-37,18-2-38,4-1-39,4-0-40,46-3-41,0-0-42,2-0-43,8-0-44,5-1-45,10-1-46,5-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61-16-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-1-55,,,1-0-56,,1-0-57,2-1-58,35-10-59,,0-0-61,5-2-62,,,2-0-65,0-0-66,,
2007.01,724-70-,662-53-201,40-1-1,3-1-2,29-10-3,28-1-4,6-1-5,5-0-6,38-3-7,13-1-8,7-0-9,5-0-10,10-2-11,15-0-12,27-2-13,26-2-14,7-2-15,6-1-16,0-0-17,38-3-18,25-0-19,14-3-20,20-1-21,9-0-22,9-0-23,8-0-24,17-0-25,8-0-26,15-2-27,5-1-28,9-1-29,11-3-30,5-0-31,7-1-32,53-1-33,4-1-34,26-1-35,7-0-36,5-0-37,18-2-38,4-1-39,4-0-40,46-3-41,0-0-42,2-0-43,8-0-44,5-0-45,10-2-46,5-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62-17-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-1-55,,,1-0-56,,1-0-57,3-1-58,34-10-59,,0-0-61,6-3-62,,,2-0-65,0-0-66,,
2007.03,778-70-,717-54-201,43-1-1,3-1-2,28-11-3,33-1-4,7-1-5,5-0-6,41-3-7,13-1-8,8-0-9,8-0-10,9-2-11,15-0-12,28-1-13,28-2-14,10-2-15,6-1-16,2-0-17,42-3-18,29-0-19,16-3-20,22-2-21,10-0-22,11-0-23,8-0-24,19-0-25,9-0-26,15-2-27,5-1-28,9-1-29,11-3-30,5-1-31,9-1-32,50-1-33,5-1-34,30-1-35,7-0-36,5-0-37,20-2-38,5-1-39,4-0-40,51-2-41,0-0-42,1-0-43,9-0-44,6-0-45,10-2-46,7-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61-16-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-1-55,,,1-0-56,,1-0-57,2-1-58,34-10-59,,0-0-61,6-2-62,,,2-0-65,0-0-66,,
2007.05,771-70-,710-52-201,45-1-1,3-1-2,28-10-3,33-1-4,7-1-5,5-0-6,40-2-7,13-1-8,8-0-9,8-0-10,9-2-11,15-0-12,25-1-13,27-2-14,10-2-15,6-1-16,2-0-17,42-3-18,29-0-19,16-3-20,22-3-21,11-0-22,10-0-23,8-0-24,19-0-25,9-0-26,15-2-27,5-1-28,10-1-29,11-3-30,5-0-31,8-1-32,49-1-33,5-1-34,28-1-35,7-0-36,5-0-37,20-2-38,5-1-39,4-0-40,51-2-41,0-0-42,0-0-43,9-0-44,6-0-45,10-2-46,7-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61-18-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-1-55,,,1-0-56,,1-0-57,2-1-58,34-11-59,,0-0-61,6-3-62,,,2-0-65,0-0-66,,
2007.07,750-70-,689-51-201,45-1-1,2-1-2,27-9-3,32-1-4,7-1-5,5-0-6,38-2-7,13-1-8,8-0-9,8-0-10,9-2-11,15-0-12,25-2-13,26-2-14,10-2-15,6-1-16,2-0-17,40-2-18,28-0-19,16-3-20,22-3-21,10-0-22,9-0-23,8-0-24,19-0-25,8-0-26,15-1-27,5-1-28,10-1-29,10-3-30,3-1-31,8-1-32,47-1-33,5-0-34,27-2-35,7-0-36,5-0-37,20-2-38,5-1-39,4-0-40,50-2-41,0-0-42,0-0-43,9-0-44,6-0-45,9-2-46,6-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61-19-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-1-55,,,1-0-56,,1-0-57,2-1-58,34-12-59,,0-0-61,6-3-62,,,2-0-65,0-0-66,,
2007.09,744-70-,683-51-201,46-1-1,2-1-2,27-9-3,31-1-4,7-1-5,5-0-6,38-3-7,14-1-8,8-0-9,8-0-10,9-2-11,14-0-12,23-2-13,26-2-14,10-2-15,6-1-16,2-0-17,40-2-18,28-0-19,16-3-20,22-3-21,10-0-22,10-0-23,8-0-24,19-0-25,8-0-26,15-1-27,5-1-28,8-1-29,10-3-30,2-0-31,8-1-32,47-1-33,5-0-34,27-2-35,7-0-36,5-0-37,20-2-38,5-1-39,3-0-40,49-2-41,0-0-42,0-0-43,9-0-44,6-0-45,9-2-46,6-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61-19-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-1-55,,,1-0-56,,1-0-57,2-1-58,34-12-59,,0-0-61,6-3-62,,,2-0-65,0-0-66,,
2007.11,728-69-,667-50-201,43-2-1,2-1-2,27-9-3,30-1-4,7-1-5,5-0-6,38-3-7,12-1-8,9-0-9,9-0-10,9-2-11,13-0-12,23-2-13,24-2-14,10-2-15,6-1-16,2-0-17,39-2-18,28-0-19,16-3-20,22-4-21,10-0-22,10-0-23,8-0-24,19-0-25,7-0-26,12-0-27,5-0-28,8-1-29,10-3-30,2-0-31,7-0-32,47-1-33,6-0-34,27-2-35,7-0-36,5-0-37,19-3-38,5-1-39,3-0-40,46-1-41,0-0-42,0-0-43,9-0-44,6-0-45,9-2-46,6-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61-19-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-1-55,,,1-0-56,,1-0-57,2-1-58,34-12-59,,0-0-61,6-3-62,,,2-0-65,0-0-66,,
2008.01,718-70-,657-49-201,42-2-1,2-1-2,28-8-3,29-2-4,7-1-5,5-0-6,38-3-7,12-1-8,8-0-9,9-0-10,9-2-11,14-0-12,23-2-13,24-2-14,10-2-15,6-1-16,2-0-17,40-1-18,25-0-19,16-3-20,22-4-21,9-0-22,10-0-23,8-0-24,19-0-25,7-0-26,11-0-27,4-0-28,8-1-29,10-3-30,2-0-31,7-0-32,47-1-33,6-0-34,26-2-35,6-0-36,5-0-37,19-2-38,5-1-39,3-0-40,46-1-41,0-0-42,0-0-43,8-1-44,6-0-45,8-2-46,6-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61-21-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-2-55,,,1-0-56,,1-0-57,2-1-58,34-13-59,,0-0-61,6-3-62,,,2-0-65,0-0-66,,
2008.03,768-70-,709-49-201,49-2-1,4-1-2,31-7-3,31-1-4,7-1-5,5-0-6,38-3-7,13-1-8,8-0-9,10-0-10,12-2-11,20-0-12,28-2-13,25-2-14,11-2-15,6-0-16,4-0-17,40-1-18,26-0-19,16-4-20,22-4-21,9-0-22,9-0-23,8-0-24,21-0-25,8-0-26,16-0-27,4-0-28,8-1-29,11-3-30,2-0-31,6-0-32,48-1-33,4-0-34,27-2-35,6-0-36,6-0-37,19-3-38,8-1-39,3-0-40,50-1-41,0-0-42,0-0-43,7-1-44,6-1-45,9-2-46,8-0-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59-21-202,,3-0-49,1-1-51,0-0-94,6-0-52,1-0-53,,1-1-54,3-2-55,,,1-0-56,,1-0-57,2-1-58,32-13-59,,0-0-61,6-3-62,,,2-0-65,0-0-66,,
