Basho,Oguruma,Kagamiyama,Azumazeki,Minezaki,Nakagawa,Izutsu,Takanohana,Kasugayama,Asahiyama,Mihogaseki,Magaki,Hanaregoma,Nishonoseki,Nakamura,Hanakago,Oshima,Tagonoura,Takashima,Kiriyama,Araiso,Isegahama,Hatachiyama,Oshiogawa,Takekuma,Kabutoyama,Wakamatsu,Tatsutagawa,Kise,Kumagatani,Onaruto,Kasugayama,Oyama,Hanakago,Takashima,Magaki,Nakagawa,Tanigawa,Minatogawa,Onogawa,Oitekaze
1933.01,,,,,,,,,2-1-OS Futasegawa--4-,,,,,,,,,,,,3-2-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1933.05,,,,,,,,,3-1-OS Futasegawa--4-,,,,,,,,,,,,3-3-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1934.01,,,,,,,,,3-2-OS Futasegawa--4-,,,,,,,,,,,,4-3-S Kiyosegawa--24-,,,,,-----,,,,,,,,,,,,,,
1934.05,,,,,,,,,8-2-OS Futasegawa--4-,,,,6-3-Y Tamanishiki-HB-60-,,,,,,,,5-2-S Kiyosegawa--24-,,,,,1-0-K Izumigawa--102-,,,,,,,,,,,,,,
1935.01,,,,,,,,,8-1-OS Futasegawa--4-,,,,7-3-Y Tamanishiki--60-,,,,,,,,7-3-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1935.05,,,,,,,,,9-1-OS Futasegawa--4-,,,,7-3-Y Tamanishiki--60-,,,,,,,,8-3-S Kiyosegawa--24-,,,,,1-0-K Izumigawa--102-,,,,,,,,,,,,,,
1936.01,,,,,,,,,9-1-OS Futasegawa--4-,,,,11-3-Y Tamanishiki--60-,,,,,,,,9-3-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1936.05,,,,,,,,,9-1-OS Futasegawa--4-,,,,10-4-Y Tamanishiki--60-,,,,,,,,10-2-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1937.01,,,,,,,,,9-1-OS Futasegawa--4-,,,,12-3-Y Tamanishiki--60-,,,,,,,,12-3-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1937.05,,,,,,,,,7-1-OS Futasegawa--4-,,,,14-3-Y Tamanishiki--60-,,,,,,,,12-3-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1938.01,,,,,,,,,7-2-OS Futasegawa--4-,,,,15-4-Y Tamanishiki--60-,,,,,,,,14-4-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1938.05,,,,,,,,,8-2-OS Futasegawa--4-,,,,17-4-Y Tamanishiki--60-,,,,,,,,14-4-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1939.01,,,,,,,,,8-2-OS Futasegawa--4-,,,,17-4-S Tamanoumi-HT-60-,,,,,,,,15-5-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1939.05,,,,,,,,,8-3-OS Futasegawa--4-,,,,16-3-S Tamanoumi--60-,,,,,,,,16-4-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,,,,,,,,,
1940.01,,,,,,,,,8-3-OS Futasegawa--4-,,,,17-3-S Tamanoumi--60-,,,,,,,,16-6-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,1-1-O Matsunobori-HB-71-,,,,,,,,
1940.05,,,,,,,,,8-4-OS Futasegawa--4-,,,,19-3-S Tamanoumi--60-,,,,,,,,15-6-S Kiyosegawa--24-,,,,,1-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,,1-0-O Shimizugawa--62-
1941.01,,,,,,,,,8-3-OS Futasegawa--4-,,,,19-4-S Tamanoumi--60-,,,,,,,,17-7-S Kiyosegawa--24-,,,,,2-1-K Izumigawa--102-,,,,,,3-0-O Matsunobori--71-,,,,,,,,1-0-O Shimizugawa--62-
1941.05,,,,,,,,,8-4-OS Futasegawa--4-,,,,20-5-S Tamanoumi--60-,,,,,,,,17-7-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,3-0-O Matsunobori--71-,,,,,,,,1-0-O Shimizugawa--62-
1942.01,,,,,,,,,8-3-OS Futasegawa--4-,,,,20-6-S Tamanoumi--60-,,,,,,,,18-7-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,2-2-M4 Aobayama-HB-28-Jinmaku,1-0-O Shimizugawa--62-
1942.05,,,,,,,,,7-4-OS Futasegawa--4-,,,,19-5-S Tamanoumi--60-,,,,,,,,21-7-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,1-1-M4 Aobayama--28-Jinmaku,1-0-O Shimizugawa--62-
1943.01,,,,,,,,,7-4-OS Futasegawa--4-,,,,18-9-S Tamanoumi--60-,,,,,,,,20-6-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,1-1-M4 Aobayama--28-Jinmaku,1-0-O Shimizugawa--62-
