Basho,Overall,Arashio,Asahiyama,Asakayama,Dewanoumi,Fujishima,Futagoyama,Hakkaku,Hanaregoma,Irumagawa,Isegahama,Isenoumi,Kasugano,Kataonami,Kise,Kokonoe,Michinoku,Minato,Miyagino,Musashigawa,Naruto,Nishiiwa,Nishikido,Nishonoseki,Oitekaze,Onoe,Onomatsu,Oshima,Oshiogawa,Otake,Sadogatake,Sakaigawa,Shibatayama,Shikihide,Shikoroyama,Tagonoura,Takadagawa,Takasago,Takekuma,Tamanoi,Tatsunami,Tokitsukaze,Tokiwayama,Yamahibiki
1757.10,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758.03,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758.10,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759.03,45-35----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762.03,32-29----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763.10,34-34----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764.03,31-31----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764.10,35-35----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765.03,33-33----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765.10,32-32----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766.03,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766.10,31-31----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767.03,32-32----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767.10,33-33----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768.09,27-27----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768.11,30-30----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769.04,32-32----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769.10,27-27----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770.03,26-26----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770.11,29-29----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771.03,27-27----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771.10,26-26----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772.11,33-33----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773.03,34-34----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773.10,35-35----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774.04,32-32----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774.10,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775.03,32-32----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775.10,32-32----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776.01,28-28----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776.10,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777.04,34-34----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777.10,34-34----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778.03,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778.11,37-37----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779.03,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779.10,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780.03,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780.10,34-34----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781.03,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781.10,37-37----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782.02,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782.10,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783.03,31-31----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783.11,35-35----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784.03,35-35----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784.11,37-37----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786.03,34-34----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786.11,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787.05,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787.11,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788.04,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788.11,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789.03,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789.11,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790.03,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790.11,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791.06,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791.11,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792.03,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792.11,37-37----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793.03,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793.10,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794.03,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794.11,48-48----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795.03,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795.11,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796.03,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796.10,46-46----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797.03,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797.10,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798.03,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798.10,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799.02,45-45----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799.11,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.04,37-37----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.10,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801.03,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801.11,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802.02,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802.11,46-46----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803.05,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803.10,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804.03,36-36----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804.10,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805.02,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805.10,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806.02,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806.10,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807.02,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807.11,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808.03,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808.10,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809.02,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809.10,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810.02,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810.10,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811.02,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811.11,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812.04,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812.11,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813.01,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813.11,46-46----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814.04,46-46----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814.11,45-45----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815.03,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815.11,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816.03,38-38----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816.10,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817.01,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817.10,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818.02,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818.10,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819.03,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819.11,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820.03,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820.10,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821.02,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821.10,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822.01,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822.10,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823.02,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823.10,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824.01,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824.10,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825.01,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825.10,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826.01,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826.10,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827.03,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827.11,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828.03,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828.10,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829.02,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829.10,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830.03,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830.11,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831.02,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831.11,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832.11,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833.02,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833.11,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834.01,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834.11,37-37----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835.01,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835.11,39-39----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836.02,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836.11,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837.01,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837.10,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838.02,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838.10,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839.03,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839.11,40-40----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840.02,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840.10,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841.01,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841.11,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.02,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.10,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.01,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.10,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.01,45-45----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.10,46-46----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.03,47-47----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.11,47-47----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846.03,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846.11,47-47----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847.03,48-48----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847.11,42-42----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848.01,43-43----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848.11,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849.03,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849.11,41-41----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850.03,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850.11,44-44----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851.02,45-45----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851.11,47-47----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.02,44-44----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.11,45-45----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853.02,46-46----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853.11,46-46----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854.02,46-46----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854.11,43-43----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855.02,46-46----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856.01,48-48----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856.11,43-43----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857.01,45-45----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857.11,46-46----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858.01,48-48----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858.11,42-42----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859.01,45-45----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859.11,45-45----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860.02,43-43----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860.10,43-43----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861.02,45-45----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861.10,52-52----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862.03,48-48----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862.11,46-46----,,,,,,,,,,,,1-1---31-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863.07,43-43----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863.11,45-45----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864.04,48-48----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864.10,46-46----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865.02,49-49----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865.11,47-47----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866.03,44-44----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866.11,45-45----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867.04,47-47----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867.11,46-46----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868.06,44-44----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868.11,44-44----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869.04,40-40----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869.11,40-40----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870.04,41-41----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870.11,40-40----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871.03,41-41----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871.11,41-41----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872.04,43-43----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872.11,42-42----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873.04,40-40----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873.12,41-41----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874.03,41-41----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874.12,42-42----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875.04,42-42----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876.01,42-42----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876.04,42-42----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877.01,40-40----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877.06,40-40----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877.12,41-41----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878.06,42-42----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,1-1-M1 Takasago--84-,,,,,,
1879.01,43-43----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,1-1-M1 Takasago--84-,,,,,,
1879.06,44-44----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,1-1-M1 Takasago--84-,,,,,,
1880.01,42-42----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,1-1-M1 Takasago--84-,,,,,,
1880.05,45-45----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,1-1-M1 Takasago--84-,,,,,,
1881.01,45-45----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,1-1-M1 Takasago--84-,,,,,,
1881.05,45-45----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,1-1-M1 Takasago--84-,,,,,,
1882.01,45-45----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,2-2-M1 Takasago--84-,,,,,,
1882.06,45-45----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,2-2-M1 Takasago--84-,,,,,,
1883.01,45-45----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,2-2-M1 Takasago--84-,,,,,,
1883.05,50-50----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,4-4-M1 Takasago--84-,,,,,,
1884.01,48-48----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,4-4-M1 Takasago--84-,,,,,,
1884.05,48-48----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,3-3-M1 Takasago--84-,,,,,,
1885.01,47-47----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,4-4-M1 Takasago--84-,,,,,,
1885.05,47-47----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,4-4-M1 Takasago--84-,,,,,,
1886.01,46-46----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,5-5-M1 Takasago--84-,,,,,,
1886.05,48-48----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,6-6-M1 Takasago--84-,,,,,,
1887.01,48-48----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,6-6-M1 Takasago--84-,,,,,,
1887.05,47-47----,,,,,,,,,,,,-----,,,,,,,,,,,,,,,,,,,,,,,,,6-6-M1 Takasago--84-,,,,,,
