Basho,Overall,Arashio,Asahiyama,Asakayama,Dewanoumi,Fujishima,Futagoyama,Hakkaku,Hanaregoma,Irumagawa,Isegahama,Isenoumi,Kasugano,Kataonami,Kise,Kokonoe,Michinoku,Minato,Miyagino,Musashigawa,Naruto,Nishiiwa,Nishikido,Nishonoseki,Oitekaze,Onoe,Onomatsu,Oshima,Oshiogawa,Otake,Sadogatake,Sakaigawa,Shibatayama,Shikihide,Shikoroyama,Tagonoura,Takadagawa,Takasago,Takekuma,Tamanoi,Tatsunami,Tokitsukaze,Tokiwayama,Yamahibiki
2013.11,627-70----,13-1-K Oyutaka--3-,,,21-0-S Washuyama--9-,11-1-O Musoyama--12-,,29-2-Y Hokutoumi--15-,12-1-O Wakashimazu--45-Matsugane,7-0-S Tochitsukasa--23-,22-5-Y Asahifuji--24-,5-1-M3 Kitakachidoki--25-,27-6-S Tochinowaka--31-,8-2-S Tamakasuga--33-,31-6-M1 Higonoumi--37-,14-5-Y Chiyonofuji--40-,12-0-O Kirishima--46-,7-0-M2 Minatofuji--48-,9-2-M13 Chikubayama--51-,4-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,17-1-M2 Daishoyama--62-,5-2-K Hamanoshima--64-,18-3-S Masurao--66-,16-4-S Kaiki--99-Tomozuna,,9-1-J4 Dairyu--69-,36-4-S Kotonowaka--72-,22-4-K Ryogoku--73-,11-0-Y Onokuni--77-,9-0-M9 Kitazakura--78-,22-2-S Terao--79-,14-3-M8 Takanotsuru--56-Naruto,22-0-S Akinoshima--83-,11-1-O Asashio--84-,,24-3-O Tochiazuma--90-,15-0-K Asahiyutaka--94-,12-3-M3 Tokitsuumi--97-,14-1-S Masudayama--7-Chiganoura,18-1-Y Kitanoumi--107-Kitanoumi
2014.01,630-70----,13-1-K Oyutaka--3-,,,21-0-S Washuyama--9-,13-1-O Musoyama--12-,,29-1-Y Hokutoumi--15-,12-1-O Wakashimazu--45-Matsugane,8-0-S Tochitsukasa--23-,23-5-Y Asahifuji--24-,5-1-M3 Kitakachidoki--25-,26-5-S Tochinowaka--31-,7-2-S Tamakasuga--33-,30-6-M1 Higonoumi--37-,15-5-Y Chiyonofuji--40-,11-0-O Kirishima--46-,7-0-M2 Minatofuji--48-,10-2-M13 Chikubayama--51-,4-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,18-1-M2 Daishoyama--62-,9-2-K Hamanoshima--64-,19-2-S Masurao--66-,16-4-S Kaiki--99-Tomozuna,,9-1-J4 Dairyu--69-,36-3-S Kotonowaka--72-,22-5-K Ryogoku--73-,11-1-Y Onokuni--77-,9-0-M9 Kitazakura--78-,22-2-S Terao--79-,12-4-M8 Takanotsuru--82-,22-0-S Akinoshima--83-,11-1-O Asashio--84-,,24-3-O Tochiazuma--90-,15-0-K Asahiyutaka--94-,11-3-M3 Tokitsuumi--97-,14-1-S Masudayama--7-Chiganoura,18-1-Y Kitanoumi--107-Kitanoumi
2014.03,662-70----,12-1-K Oyutaka--3-,,4-0-O Kaio-HB-5-,18-0-M2 Oginohana-HT-9-,13-1-O Musoyama--12-,,30-1-Y Hokutoumi--15-,14-1-O Wakashimazu--45-Matsugane,8-1-S Tochitsukasa--23-,23-5-Y Asahifuji--24-,6-1-M3 Kitakachidoki--25-,28-4-S Tochinowaka--31-,6-2-S Tamakasuga--33-,33-6-M1 Higonoumi--37-,16-5-Y Chiyonofuji--40-,12-0-O Kirishima--46-,7-0-M2 Minatofuji--48-,14-2-M13 Chikubayama--51-,5-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,19-1-M2 Daishoyama--62-,11-2-K Hamanoshima--64-,19-3-S Masurao--66-,12-4-S Kaiki--99-Tomozuna,,10-1-J4 Dairyu--69-,37-3-S Kotonowaka--72-,22-5-K Ryogoku--73-,12-0-Y Onokuni--77-,9-0-M9 Kitazakura--78-,22-2-S Terao--79-,13-3-M8 Takanotsuru--82-,23-0-S Akinoshima--83-,13-1-O Asashio--84-,,26-3-O Tochiazuma--90-,17-0-K Asahiyutaka--94-,12-3-M3 Tokitsuumi--97-,14-1-S Masudayama--7-Chiganoura,18-2-Y Kitanoumi--107-Kitanoumi
2014.05,664-70----,12-1-K Oyutaka--3-,,4-0-O Kaio--5-,18-0-M2 Oginohana--9-,13-1-O Musoyama--12-,,28-1-Y Hokutoumi--15-,14-1-O Wakashimazu--45-Matsugane,8-0-S Tochitsukasa--23-,23-5-Y Asahifuji--24-,6-1-M3 Kitakachidoki--25-,27-3-S Tochinowaka--31-,6-2-S Tamakasuga--33-,33-6-M1 Higonoumi--37-,16-5-Y Chiyonofuji--40-,12-0-O Kirishima--46-,7-1-M2 Minatofuji--48-,13-2-M13 Chikubayama--51-,8-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,18-1-M2 Daishoyama--62-,11-2-K Hamanoshima--64-,20-3-S Masurao--66-,12-4-S Kaiki--99-Tomozuna,,10-1-J4 Dairyu--69-,36-2-S Kotonowaka--72-,23-5-K Ryogoku--73-,12-1-Y Onokuni--77-,9-0-M9 Kitazakura--78-,23-2-S Terao--79-,13-4-M8 Takanotsuru--82-,23-0-S Akinoshima--83-,13-1-O Asashio--84-,,26-3-O Tochiazuma--90-,17-0-K Asahiyutaka--94-,12-4-M3 Tokitsuumi--97-,15-1-S Masudayama--7-Chiganoura,18-1-Y Kitanoumi--107-Kitanoumi
2014.07,657-70----,12-1-K Oyutaka--3-,,4-0-O Kaio--5-,18-0-M2 Oginohana--9-,13-1-O Musoyama--12-,,28-1-Y Hokutoumi--15-,13-1-O Wakashimazu--45-Matsugane,8-0-S Tochitsukasa--23-,23-5-Y Asahifuji--24-,6-1-M3 Kitakachidoki--25-,27-5-S Tochinowaka--31-,6-2-S Tamakasuga--33-,34-6-M1 Higonoumi--37-,15-5-Y Chiyonofuji--40-,13-0-O Kirishima--46-,6-1-M2 Minatofuji--48-,13-1-M13 Chikubayama--51-,8-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,18-2-M2 Daishoyama--62-,11-2-K Hamanoshima--64-,19-2-S Masurao--66-,12-5-S Kaiki--99-Tomozuna,,10-1-J4 Dairyu--69-,36-2-S Kotonowaka--72-,23-5-K Ryogoku--73-,12-1-Y Onokuni--77-,11-0-M9 Kitazakura--78-,23-2-S Terao--79-,12-3-M8 Takanotsuru--82-,23-0-S Akinoshima--83-,13-1-O Asashio--84-,,26-2-O Tochiazuma--90-,16-0-K Asahiyutaka--94-,12-4-M3 Tokitsuumi--97-,15-1-S Masudayama--7-Chiganoura,18-1-Y Kitanoumi--107-Kitanoumi
2014.09,648-70----,12-1-K Oyutaka--3-,,4-0-O Kaio--5-,18-0-M2 Oginohana--9-,13-1-O Musoyama--12-,,28-1-Y Hokutoumi--15-,13-1-O Wakashimazu--45-Matsugane,8-0-S Tochitsukasa--23-,23-5-Y Asahifuji--24-,6-1-M3 Kitakachidoki--25-,28-4-S Tochinowaka--31-,6-2-S Tamakasuga--33-,34-5-M1 Higonoumi--37-,15-5-Y Chiyonofuji--40-,13-0-O Kirishima--46-,6-1-M2 Minatofuji--48-,13-1-M13 Chikubayama--51-,8-0-Y Musashimaru--52-,,,11-0-S Mitoizumi--58-,,17-2-M2 Daishoyama--62-,11-1-K Hamanoshima--64-,19-3-S Masurao--66-,12-5-S Kaiki--99-Tomozuna,,10-1-J4 Dairyu--69-,35-2-S Kotonowaka--72-,22-5-K Ryogoku--73-,12-1-Y Onokuni--77-,10-0-M9 Kitazakura--78-,21-2-S Terao--79-,11-3-M8 Takanotsuru--82-,23-0-S Akinoshima--83-,13-1-O Asashio--84-,,26-3-O Tochiazuma--90-,16-0-K Asahiyutaka--94-,12-4-M3 Tokitsuumi--97-,15-1-S Masudayama--7-Chiganoura,18-2-Y Kitanoumi--107-Kitanoumi
2014.11,643-70----,13-1-K Oyutaka--3-,,4-0-O Kaio--5-,18-1-M2 Oginohana--9-,13-1-O Musoyama--12-,,27-1-Y Hokutoumi--15-,12-1-O Wakashimazu--45-Matsugane,8-0-S Tochitsukasa--23-,23-5-Y Asahifuji--24-,6-1-M3 Kitakachidoki--25-,27-5-S Tochinowaka--31-,6-2-S Tamakasuga--33-,34-5-M1 Higonoumi--37-,15-4-Y Chiyonofuji--40-,13-0-O Kirishima--46-,6-1-M2 Minatofuji--48-,12-1-M13 Chikubayama--51-,8-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,17-2-M2 Daishoyama--62-,11-2-K Hamanoshima--64-,18-2-S Masurao--66-,12-4-S Kaiki--99-Tomozuna,,10-1-J4 Dairyu--69-,35-3-S Kotonowaka--72-,23-5-K Ryogoku--73-,12-1-Y Onokuni--77-,10-0-M9 Kitazakura--78-,21-2-S Terao--79-,10-3-M8 Takanotsuru--82-,23-1-S Akinoshima--83-,12-1-O Asashio--84-,,28-2-O Tochiazuma--90-,16-0-K Asahiyutaka--94-,13-4-M3 Tokitsuumi--97-,14-0-S Masudayama--7-Chiganoura,17-2-Y Kitanoumi--107-Kitanoumi
2015.01,646-70----,12-1-K Oyutaka--3-,,4-0-O Kaio--5-,18-0-M2 Oginohana--9-,13-1-O Musoyama--12-,,28-1-Y Hokutoumi--15-,12-1-O Wakashimazu--60-Nishonoseki,11-0-S Tochitsukasa--23-,23-5-Y Asahifuji--24-,6-1-M3 Kitakachidoki--25-,27-5-S Tochinowaka--31-,6-2-S Tamakasuga--33-,34-6-M1 Higonoumi--37-,13-4-Y Chiyonofuji--40-,13-0-O Kirishima--46-,6-1-M2 Minatofuji--48-,12-1-M13 Chikubayama--51-,8-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,18-2-M2 Daishoyama--62-,11-2-K Hamanoshima--64-,17-3-S Masurao--66-,12-4-S Kaiki--99-Tomozuna,,10-1-J4 Dairyu--69-,36-2-S Kotonowaka--72-,24-5-K Ryogoku--73-,13-1-Y Onokuni--77-,11-0-M9 Kitazakura--78-,21-1-S Terao--79-,10-3-M8 Takanotsuru--82-,23-1-S Akinoshima--83-,12-1-O Asashio--84-,,27-2-O Tochiazuma--90-,16-0-K Asahiyutaka--94-,13-4-M3 Tokitsuumi--97-,15-1-S Masudayama--7-Chiganoura,16-2-Y Kitanoumi--107-Kitanoumi
2015.03,670-70----,11-1-K Oyutaka--3-,,5-0-O Kaio--5-,19-0-M2 Oginohana--9-,14-1-O Musoyama--12-,,28-1-Y Hokutoumi--15-,12-1-O Wakashimazu--60-Nishonoseki,13-0-S Tochitsukasa--23-,28-5-Y Asahifuji--24-,9-1-M3 Kitakachidoki--25-,27-3-S Tochinowaka--31-,6-2-S Tamakasuga--33-,36-6-M1 Higonoumi--37-,13-4-Y Chiyonofuji--40-,13-0-O Kirishima--46-,8-1-M2 Minatofuji--48-,12-2-M13 Chikubayama--51-,8-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,18-2-M2 Daishoyama--62-,11-2-K Hamanoshima--64-,17-3-S Masurao--66-,12-4-S Kaiki--99-Tomozuna,,10-1-J4 Dairyu--69-,37-3-S Kotonowaka--72-,24-5-K Ryogoku--73-,14-0-Y Onokuni--77-,14-0-M9 Kitazakura--78-,19-2-S Terao--79-,9-3-M8 Takanotsuru--82-,23-1-S Akinoshima--83-,15-1-O Asashio--84-,,28-1-O Tochiazuma--90-,16-0-K Asahiyutaka--94-,14-4-M3 Tokitsuumi--97-,17-1-S Masudayama--7-Chiganoura,18-2-Y Kitanoumi--107-Kitanoumi
2015.05,671-70----,12-1-K Oyutaka--3-,,5-0-O Kaio--5-,19-1-M2 Oginohana--9-,14-1-O Musoyama--12-,,29-1-Y Hokutoumi--15-,12-1-O Wakashimazu--60-Nishonoseki,13-0-S Tochitsukasa--23-,28-5-Y Asahifuji--24-,10-2-M3 Kitakachidoki--25-,27-3-S Tochinowaka--31-,6-2-S Tamakasuga--33-,36-5-M1 Higonoumi--37-,15-4-Y Chiyonofuji--40-,12-0-O Kirishima--46-,8-1-M2 Minatofuji--48-,12-2-M13 Chikubayama--51-,8-0-Y Musashimaru--52-,,,10-0-S Mitoizumi--58-,,18-3-M2 Daishoyama--62-,11-2-K Hamanoshima--64-,16-3-S Masurao--66-,12-4-S Kaiki--99-Tomozuna,,10-1-J4 Dairyu--69-,36-2-S Kotonowaka--72-,24-5-K Ryogoku--73-,13-1-Y Onokuni--77-,15-0-M9 Kitazakura--78-,18-2-S Terao--79-,9-3-M8 Takanotsuru--82-,23-1-S Akinoshima--83-,15-1-O Asashio--84-,,29-1-O Tochiazuma--90-,16-0-K Asahiyutaka--94-,15-3-M3 Tokitsuumi--97-,16-0-S Masudayama--7-Chiganoura,18-2-Y Kitanoumi--107-Kitanoumi
